Total Words are: 4331
----------------------------------------------
Word            	Freq.	Probability
records         	7	0.0016162549
now             	7	0.0016162549
review          	7	0.0016162549
many            	7	0.0016162549
media           	7	0.0016162549
downloads       	7	0.0016162549
arts            	7	0.0016162549
spain           	7	0.0016162549
ten             	7	0.0016162549
winds           	7	0.0016162549
clarke          	7	0.0016162549
director        	7	0.0016162549
return          	7	0.0016162549
storm           	7	0.0016162549
sets            	7	0.0016162549
writer          	7	0.0016162549
during          	7	0.0016162549
see             	7	0.0016162549
adaptation      	7	0.0016162549
forbes          	7	0.0016162549
imax            	7	0.0016162549
ramin           	7	0.0016162549
back            	7	0.0016162549
epic            	7	0.0016162549
atlantic        	7	0.0016162549
write           	7	0.0016162549
law             	7	0.0016162549
sexual          	7	0.0016162549
principal       	7	0.0016162549
bbc             	7	0.0016162549
page            	7	0.0016162549
peter           	7	0.0016162549
washington      	7	0.0016162549
north           	7	0.0016162549
official        	7	0.0016162549
never           	6	0.0013853613
95              	6	0.0013853613
1999            	6	0.0013853613
1998            	6	0.0013853613
feature         	6	0.0013853613
london          	6	0.0013853613
l               	6	0.0013853613
winteriscoming  	6	0.0013853613
tales           	6	0.0013853613
created         	6	0.0013853613
theme           	6	0.0013853613
watch           	6	0.0013853613
store           	6	0.0013853613
families        	6	0.0013853613
ii              	6	0.0013853613
mother          	6	0.0013853613
52              	6	0.0013853613
o               	6	0.0013853613
jane            	6	0.0013853613
1995            	6	0.0013853613
cost            	6	0.0013853613
date            	6	0.0013853613
revealed        	6	0.0013853613
statements      	6	0.0013853613
name            	6	0.0013853613
rlq             	6	0.0013853613
rating          	6	0.0013853613
black           	6	0.0013853613
sean            	6	0.0013853613
65              	6	0.0013853613
different       	6	0.0013853613
read            	6	0.0013853613
wolf            	6	0.0013853613
los             	6	0.0013853613
sales           	6	0.0013853613
languages       	6	0.0013853613
good            	6	0.0013853613
hill            	6	0.0013853613
too             	6	0.0013853613
added           	6	0.0013853613
iron            	6	0.0013853613
genre           	6	0.0013853613
budget          	6	0.0013853613
australia       	6	0.0013853613
costumes        	6	0.0013853613
us              	6	0.0013853613
actors          	6	0.0013853613
elements        	6	0.0013853613
magic           	6	0.0013853613
emmys           	6	0.0013853613
links           	6	0.0013853613
producer        	6	0.0013853613
successor       	6	0.0013853613
globe           	6	0.0013853613
related         	6	0.0013853613
matt            	6	0.0013853613
bear            	6	0.0013853613
we              	6	0.0013853613
opening         	6	0.0013853613
jon             	6	0.0013853613
co              	6	0.0013853613
began           	6	0.0013853613
beast           	6	0.0013853613
798872473       	6	0.0013853613
hair            	6	0.0013853613
empire          	6	0.0013853613
debuts          	6	0.0013853613
88              	6	0.0013853613
function        	6	0.0013853613
ned             	5	0.0011544678
studio          	5	0.0011544678
itunes          	5	0.0011544678
peabody         	5	0.0011544678
maisie          	5	0.0011544678
pixomondo       	5	0.0011544678
telegraph       	5	0.0011544678
wars            	5	0.0011544678
96              	5	0.0011544678
room            	5	0.0011544678
british         	5	0.0011544678
salon           	5	0.0011544678
office          	5	0.0011544678
then            	5	0.0011544678
network         	5	0.0011544678
top             	5	0.0011544678
