Total Words are: 8967
----------------------------------------------
Word            	Freq.	Probability
reigned         	14	0.0015612802
why             	14	0.0015612802
daenerys        	14	0.0015612802
book            	14	0.0015612802
term            	14	0.0015612802
golden          	13	0.0014497602
currency        	13	0.0014497602
wing            	13	0.0014497602
release         	13	0.0014497602
fair            	13	0.0014497602
support         	13	0.0014497602
team            	13	0.0014497602
love            	13	0.0014497602
following       	13	0.0014497602
locations       	13	0.0014497602
prime           	13	0.0014497602
where           	13	0.0014497602
gold            	13	0.0014497602
dothraki        	13	0.0014497602
expanded        	13	0.0014497602
off             	13	0.0014497602
1991            	13	0.0014497602
1994            	13	0.0014497602
fan             	13	0.0014497602
southern        	13	0.0014497602
shows           	13	0.0014497602
metacritic      	13	0.0014497602
emperors        	13	0.0014497602
dvd             	13	0.0014497602
rotten          	13	0.0014497602
bad             	13	0.0014497602
ii              	13	0.0014497602
make            	13	0.0014497602
daily           	13	0.0014497602
largely         	13	0.0014497602
defence         	13	0.0014497602
public          	13	0.0014497602
took            	13	0.0014497602
significant     	13	0.0014497602
common          	13	0.0014497602
foreign         	13	0.0014497602
bjp             	13	0.0014497602
ancient         	13	0.0014497602
dinklage        	13	0.0014497602
changes         	13	0.0014497602
countries       	13	0.0014497602
when            	13	0.0014497602
dragon          	13	0.0014497602
any             	13	0.0014497602
sultanate       	13	0.0014497602
60              	13	0.0014497602
tamil           	13	0.0014497602
73              	13	0.0014497602
dubrovnik       	13	0.0014497602
six             	13	0.0014497602
related         	13	0.0014497602
82              	13	0.0014497602
ray             	13	0.0014497602
tomatoes        	13	0.0014497602
lord            	12	0.0013382402
example         	12	0.0013382402
came            	12	0.0013382402
blu             	12	0.0013382402
16th            	12	0.0013382402
former          	12	0.0013382402
silks           	12	0.0013382402
river           	12	0.0013382402
output          	12	0.0013382402
poverty         	12	0.0013382402
indians         	12	0.0013382402
indonesia       	12	0.0013382402
appeared        	12	0.0013382402
humayun         	12	0.0013382402
what            	12	0.0013382402
accounted       	12	0.0013382402
independent     	12	0.0013382402
gandhi          	12	0.0013382402
night           	12	0.0013382402
cogman          	12	0.0013382402
change          	12	0.0013382402
territories     	12	0.0013382402
1858            	12	0.0013382402
area            	12	0.0013382402
very            	12	0.0013382402
family          	12	0.0013382402
increasingly    	12	0.0013382402
page            	12	0.0013382402
medieval        	12	0.0013382402
reforms         	12	0.0013382402
subahs          	12	0.0013382402
making          	12	0.0013382402
especially      	12	0.0013382402
arts            	12	0.0013382402
important       	12	0.0013382402
children        	12	0.0013382402
maratha         	12	0.0013382402
house           	12	0.0013382402
silk            	12	0.0013382402
administrative  	12	0.0013382402
big             	12	0.0013382402
schwartzberg    	12	0.0013382402
48              	12	0.0013382402
free            	12	0.0013382402
top             	12	0.0013382402
constitution    	12	0.0013382402
turn            	12	0.0013382402
64              	12	0.0013382402
500             	12	0.0013382402
pilot           	12	0.0013382402
politics        	12	0.0013382402
piracy          	12	0.0013382402
wife            	12	0.0013382402
70              	12	0.0013382402
filmed          	12	0.0013382402
hindi           	12	0.0013382402
baratheon       	12	0.0013382402
95              	11	0.0012267202
96              	11	0.0012267202
score           	11	0.0012267202
creative        	11	0.0012267202
date            	11	0.0012267202
jahan           	11	0.0012267202
complete        	11	0.0012267202
science         	11	0.0012267202
publishing      	11	0.0012267202
styles          	11	0.0012267202
religion        	11	0.0012267202
video           	11	0.0012267202
could           	11	0.0012267202
elites          	11	0.0012267202
become          	11	0.0012267202
work            	11	0.0012267202
office          	11	0.0012267202
iceland         	11	0.0012267202
cost            	11	0.0012267202
talbot          	11	0.0012267202
death           	11	0.0012267202
ruler           	11	0.0012267202
business        	11	0.0012267202
your            	11	0.0012267202
strong          	11	0.0012267202
khan            	11	0.0012267202
robert          	11	0.0012267202
rothermund      	11	0.0012267202
user            	11	0.0012267202
critics         	11	0.0012267202
indo            	11	0.0012267202
nation          	11	0.0012267202
journal         	11	0.0012267202
net             	11	0.0012267202
fort            	11	0.0012267202
themes          	11	0.0012267202
box             	11	0.0012267202
living          	11	0.0012267202
performance     	11	0.0012267202
nearly          	11	0.0012267202
those           	11	0.0012267202
middle          	11	0.0012267202
pradesh         	11	0.0012267202
founder         	11	0.0012267202
share           	11	0.0012267202
numbers         	11	0.0012267202
asher           	11	0.0012267202
members         	11	0.0012267202
particularly    	11	0.0012267202
fans            	11	0.0012267202
historical      	11	0.0012267202
38              	11	0.0012267202
forest          	11	0.0012267202
act             	11	0.0012267202
areas           	11	0.0012267202
london          	11	0.0012267202
primary         	11	0.0012267202
mediawiki       	11	0.0012267202
gave            	11	0.0012267202
marathas        	11	0.0012267202
class           	11	0.0012267202
fourth          	11	0.0012267202
review          	11	0.0012267202
67              	11	0.0012267202
rising          	11	0.0012267202
novel           	11	0.0012267202
imported        	11	0.0012267202
w               	11	0.0012267202
imports         	11	0.0012267202
him             	11	0.0012267202
demand          	11	0.0012267202
successor       	11	0.0012267202
84              	11	0.0012267202
ruling          	11	0.0012267202
rt              	10	0.0011152002
rice            	10	0.0011152002
workforce       	10	0.0011152002
crown           	10	0.0011152002
1707            	10	0.0011152002
seventh         	10	0.0011152002
atlantic        	10	0.0011152002
timurid         	10	0.0011152002
small           	10	0.0011152002
broadcasting    	10	0.0011152002
gadget          	10	0.0011152002
whole           	10	0.0011152002
budget          	10	0.0011152002
survey          	10	0.0011152002
jahangir        	10	0.0011152002
influence       	10	0.0011152002
having          	10	0.0011152002
persia          	10	0.0011152002
gained          	10	0.0011152002
compared        	10	0.0011152002
forests         	10	0.0011152002
plot            	10	0.0011152002
1992            	10	0.0011152002
john            	10	0.0011152002
away            	10	0.0011152002
families        	10	0.0011152002
dhaka           	10	0.0011152002
dikshit         	10	0.0011152002
forms           	10	0.0011152002
ep              	10	0.0011152002
held            	10	0.0011152002
external        	10	0.0011152002
taken           	10	0.0011152002
afghanistan     	10	0.0011152002
links           	10	0.0011152002
princess        	10	0.0011152002
key             	10	0.0011152002
monetary        	10	0.0011152002
cricket         	10	0.0011152002
wars            	10	0.0011152002
sugar           	10	0.0011152002
website         	10	0.0011152002
1556            	10	0.0011152002
policy          	10	0.0011152002
dutch           	10	0.0011152002
secondary       	10	0.0011152002
doctor          	10	0.0011152002
opium           	10	0.0011152002
caste           	10	0.0011152002
founded         	10	0.0011152002
sound           	10	0.0011152002
hour            	10	0.0011152002
another         	10	0.0011152002
beginning       	10	0.0011152002
majority        	10	0.0011152002
britannica      	10	0.0011152002
37              	10	0.0011152002
34              	10	0.0011152002
mid             	10	0.0011152002
administration  	10	0.0011152002
executive       	10	0.0011152002
46              	10	0.0011152002
44              	10	0.0011152002
estimated       	10	0.0011152002
relations       	10	0.0011152002
snow            	10	0.0011152002
coin            	10	0.0011152002
mother          	10	0.0011152002
advanced        	10	0.0011152002
57              	10	0.0011152002
today           	10	0.0011152002
parliamentary   	10	0.0011152002
organisation    	10	0.0011152002
revenue         	10	0.0011152002
released        	10	0.0011152002
cities          	10	0.0011152002
63              	10	0.0011152002
turco           	10	0.0011152002
highest         	10	0.0011152002
far             	10	0.0011152002
75              	10	0.0011152002
72              	10	0.0011152002
traditional     	10	0.0011152002
wrote           	10	0.0011152002
art             	10	0.0011152002
muslin          	10	0.0011152002
sold            	10	0.0011152002
lower           	10	0.0011152002
hinduism        	10	0.0011152002
19th            	10	0.0011152002
few             	10	0.0011152002
rape            	10	0.0011152002
ships           	10	0.0011152002
83              	10	0.0011152002
limit           	10	0.0011152002
record          	10	0.0011152002
contributed     	9	0.0010036802
tree            	9	0.0010036802
result          	9	0.0010036802
tyrion          	9	0.0010036802
o               	9	0.0010036802
inside          	9	0.0010036802
kumar           	9	0.0010036802
robb            	9	0.0010036802
djawadi         	9	0.0010036802
dark            	9	0.0010036802
caused          	9	0.0010036802
experience      	9	0.0010036802
prior           	9	0.0010036802
research        	9	0.0010036802
bihar           	9	0.0010036802
fund            	9	0.0010036802
location        	9	0.0010036802
great           	9	0.0010036802
illegal         	9	0.0010036802
produced        	9	0.0010036802
ties            	9	0.0010036802
site            	9	0.0010036802
network         	9	0.0010036802
ten             	9	0.0010036802
tons            	9	0.0010036802
traditions      	9	0.0010036802
live            	9	0.0010036802
clothing        	9	0.0010036802
77              	9	0.0010036802
role            	9	0.0010036802
1857            	9	0.0010036802
exported        	9	0.0010036802
building        	9	0.0010036802
targaryen       	9	0.0010036802
bryan           	9	0.0010036802
referred        	9	0.0010036802
script          	9	0.0010036802
towards         	9	0.0010036802
described       	9	0.0010036802
ratings         	9	0.0010036802
written         	9	0.0010036802
imperial        	9	0.0010036802
education       	9	0.0010036802
companies       	9	0.0010036802
doi             	9	0.0010036802
if              	9	0.0010036802
just            	9	0.0010036802
father          	9	0.0010036802
1995            	9	0.0010036802
man             	9	0.0010036802
sansa           	9	0.0010036802
protected       	9	0.0010036802
maintained      	9	0.0010036802
different       	9	0.0010036802
winds           	9	0.0010036802
pay             	9	0.0010036802
prices          	9	0.0010036802
33              	9	0.0010036802
35              	9	0.0010036802
composed        	9	0.0010036802
showrunners     	9	0.0010036802
sexual          	9	0.0010036802
forbes          	9	0.0010036802
works           	9	0.0010036802
classical       	9	0.0010036802
introduced      	9	0.0010036802
49              	9	0.0010036802
kulke           	9	0.0010036802
direct          	9	0.0010036802
mi              	9	0.0010036802
mw              	9	0.0010036802
too             	9	0.0010036802
vulture         	9	0.0010036802
59              	9	0.0010036802
australian      	9	0.0010036802
she             	9	0.0010036802
white           	9	0.0010036802
weapons         	9	0.0010036802
cash            	9	0.0010036802
events          	9	0.0010036802
producers       	9	0.0010036802
britain         	9	0.0010036802
woman           	9	0.0010036802
76              	9	0.0010036802
78              	9	0.0010036802
fastest         	9	0.0010036802
initially       	9	0.0010036802
1526            	9	0.0010036802
gujarat         	9	0.0010036802
called          	9	0.0010036802
88              	9	0.0010036802
vanity          	9	0.0010036802
sanskrit        	9	0.0010036802
because         	9	0.0010036802
leader          	9	0.0010036802
taj             	8	0.0008921601
increasing      	8	0.0008921601
reported        	8	0.0008921601
99              	8	0.0008921601
94              	8	0.0008921601
theme           	8	0.0008921601
played          	8	0.0008921601
old             	8	0.0008921601
1700            	8	0.0008921601
current         	8	0.0008921601
alone           	8	0.0008921601
williams        	8	0.0008921601
europeans       	8	0.0008921601
screen          	8	0.0008921601
rapidly         	8	0.0008921601
self            	8	0.0008921601
uk              	8	0.0008921601
producer        	8	0.0008921601
ce              	8	0.0008921601
order           	8	0.0008921601
born            	8	0.0008921601
trophy          	8	0.0008921601
nudity          	8	0.0008921601
evidence        	8	0.0008921601
revolution      	8	0.0008921601
still           	8	0.0008921601
window          	8	0.0008921601
1950            	8	0.0008921601
directing       	8	0.0008921601
shown           	8	0.0008921601
mostly          	8	0.0008921601
german          	8	0.0008921601
constitutional  	8	0.0008921601
ruled           	8	0.0008921601
inspired        	8	0.0008921601
guide           	8	0.0008921601
similar         	8	0.0008921601
visual          	8	0.0008921601
ryan            	8	0.0008921601
commercial      	8	0.0008921601
encyclopedia    	8	0.0008921601
globe           	8	0.0008921601
encyclopdia     	8	0.0008921601
records         	8	0.0008921601
washington      	8	0.0008921601
star            	8	0.0008921601
ever            	8	0.0008921601
never           	8	0.0008921601
content         	8	0.0008921601
quantities      	8	0.0008921601
yet             	8	0.0008921601
landing         	8	0.0008921601
digital         	8	0.0008921601
behind          	8	0.0008921601
driven          	8	0.0008921601
extensive       	8	0.0008921601
audience        	8	0.0008921601
20th            	8	0.0008921601
cultivation     	8	0.0008921601
wages           	8	0.0008921601
mahal           	8	0.0008921601
built           	8	0.0008921601
annual          	8	0.0008921601
directed        	8	0.0008921601
nawab           	8	0.0008921601
sons            	8	0.0008921601
democracy       	8	0.0008921601
dam             	8	0.0008921601
1658            	8	0.0008921601
red             	8	0.0008921601
we              	8	0.0008921601
plain           	8	0.0008921601
sets            	8	0.0008921601
authority       	8	0.0008921601
female          	8	0.0008921601
1988            	8	0.0008921601
supreme         	8	0.0008921601
rise            	8	0.0008921601
earth           	8	0.0008921601
peasants        	8	0.0008921601
ocean           	8	0.0008921601
53              	8	0.0008921601
gin             	8	0.0008921601
head            	8	0.0008921601
islamic         	8	0.0008921601
tba             	8	0.0008921601
68              	8	0.0008921601
good            	8	0.0008921601
week            	8	0.0008921601
blog            	8	0.0008921601
map             	8	0.0008921601
swords          	8	0.0008921601
design          	8	0.0008921601
rather          	8	0.0008921601
short           	8	0.0008921601
return          	8	0.0008921601
pirated         	8	0.0008921601
store           	8	0.0008921601
routledge       	8	0.0008921601
added           	8	0.0008921601
71              	8	0.0008921601
torrentfreak    	8	0.0008921601
due             	8	0.0008921601
widely          	8	0.0008921601
sports          	8	0.0008921601
arya            	8	0.0008921601
available       	8	0.0008921601
premiere        	8	0.0008921601
sequence        	8	0.0008921601
increase        	7	0.0007806401
wikimedia       	7	0.0007806401
successful      	7	0.0007806401
93              	7	0.0007806401
plate           	7	0.0007806401
child           	7	0.0007806401
cersei          	7	0.0007806401
right           	7	0.0007806401
studies         	7	0.0007806401
working         	7	0.0007806401
future          	7	0.0007806401
laws            	7	0.0007806401
single          	7	0.0007806401
technology      	7	0.0007806401
origins         	7	0.0007806401
parties         	7	0.0007806401
followed        	7	0.0007806401
information     	7	0.0007806401
director        	7	0.0007806401
found           	7	0.0007806401
status          	7	0.0007806401
operation       	7	0.0007806401
introduction    	7	0.0007806401
play            	7	0.0007806401
writer          	7	0.0007806401
towns           	7	0.0007806401
sabha           	7	0.0007806401
read            	7	0.0007806401
recent          	7	0.0007806401
wildlife        	7	0.0007806401
elements        	7	0.0007806401
continued       	7	0.0007806401
biodiversity    	7	0.0007806401
principal       	7	0.0007806401
sales           	7	0.0007806401
spain           	7	0.0007806401
less            	7	0.0007806401
bharat          	7	0.0007806401
word            	7	0.0007806401
1997            	7	0.0007806401
cited           	7	0.0007806401
iron            	7	0.0007806401
latter          	7	0.0007806401
de              	7	0.0007806401
security        	7	0.0007806401
uniform         	7	0.0007806401
shared          	7	0.0007806401
commissioner    	7	0.0007806401
write           	7	0.0007806401
imax            	7	0.0007806401
sri             	7	0.0007806401
clarke          	7	0.0007806401
demographics    	7	0.0007806401
fully           	7	0.0007806401
americas        	7	0.0007806401
ramin           	7	0.0007806401
79              	7	0.0007806401
department      	7	0.0007806401
win             	7	0.0007806401
started         	7	0.0007806401
kilometres      	7	0.0007806401
revealed        	7	0.0007806401
adopted         	7	0.0007806401
parts           	7	0.0007806401
42              	7	0.0007806401
peninsular      	7	0.0007806401
peter           	7	0.0007806401
expansion       	7	0.0007806401
whose           	7	0.0007806401
army            	7	0.0007806401
weeks           	7	0.0007806401
agra            	7	0.0007806401
background      	7	0.0007806401
dead            	7	0.0007806401
down            	7	0.0007806401
